job,count
goodwins mills store - food maker -- lasted one afternoon.,1
wal-mart - cart pusher --&gt; cashier (w/ @nissameta1782) --&gt; electronics - 5 years,1
lowe's - cashier --&gt; delivery truck driver - 5 years,1
clynk - truck driver - 7 years so far,1
cashier at mount smart,1
maccas,1
security guard at eden park,1
cashier at the warehouse,1
contact centre https://t.co/ckaih1zgne,1
"waiter (hotel events, chef's were mean to us)",1
bank call centre - credit card debt recovery (mega grim),1
sales for dixons (now currys),1
mortgage advisor,1
sweeping the floor and washing hair ,1
looking after kids,1
managing festivals and conferences,1
advocating for people in crisis,1
organising community action #5jobsivehad,1
food retail,1
stage and screen producer,1
retail travel agent. ,1
wholesale travel agent.,1
pigeon watcher ,1
human impersonator ,1
outer god (part time),1
skeleton exterminator,1
friend (part time),1
cad designer,1
historic fencer instructor,1
end user support engineer,1
south europe operation leader,1
electroplater,1
plant nursery worker,1
pension fund trustee,1
stadium attendant ⚽️,1
cinema staff 🎬,1
exhibitions coord,1
garden centre 🌱,1
safari park attendant ,1
senior elephant keeper 🐘,1
artist 🎨,1
museum tech,1
private security ,1
data analyst #5jobsivehad,1
school cleaner - now the smell of zoflora gives me memories i'd rather forget. damn you @mrshinchhome🤣,1
pot washer - where i discovered i was allergic to latex gloves🤦‍♀️,1
an elf ,1
staples - where customers ask for a photocopy by 0.3% 🤨,1
kennel worker/professional poop scooper,1
intern,1
videographer/photographer,1
facilities manager,1
ecom/smma,1
robotics lab monitor,1
demo artist,1
middle school art class assistant,1
photoshop tutor,1
student researcher 💻,1
english teacher 👧,1
hostess and promoter 💃,1
lifeguard 🐬,1
professional hat stand,1
hangman,1
[redacted],1
slave for a species of giant cat on another planet,1
pathological liar https://t.co/covxhm877t,1
afterschool care supervisor,1
vic uni student ambassador &amp; pasifika student ambassador,1
sidekick for sidekicker lol,1
communications advisor,1
angel... 👀🤣🤣🤣,1
selling popcorn/movie tickets to rowdy teens,1
selling shoes to middle-aged karens,1
marketing education to overseas students,1
language teacher (in various wretched formats) ,1
translator for crazy rich asians ,1
hosstes (del mismo lugar),1
secretaria particular,1
asesora legislativa ,1
jefa de oficina legislativa y me faltan varios!!!,1
switchboard operator,1
stud farm manager,1
carpet salesperson,1
theatre front of house/bar work,1
play assistant (pre-school nursery),1
double glazing sales,1
veterinary nurse,1
face to face fundraiser,1
islamic studies teacher to o- level students at beaconhouse school ,1
project coordinator at giz ,1
waiter at pizza hut,1
cashier at chicken cottage ,1
manager at a charity ,1
dinner lady ,1
music shop manager ,1
banana farm packer ,1
childrens shoe fitter ,1
pin peddler ,1
packer at a grocery store,1
storeroom packer at a grocery store,1
tax account manager https://t.co/stsmgyzv6o,1
sandwich delivery boy ,1
bar man,1
giro cheque printer ,1
saturday job in a shoe shop.           2. saturday job in a record shop (ha showing my age now).                   3. fully trained primary school teacher 👩‍🏫 4. temp legal secretary.  5. events manager ,1
pizza delivery guy,1
software developer https://t.co/zpmei17hwg,1
stage makeup artist,1
deli assistant,1
jobs i had: #5jobsivehad ,1
"assembly line, making faucets",1
"grocery store, restocking shelves",1
"first level it, fixing pcs &amp; printers",1
programmer for high-performance computing,1
sweet shop assistant,1
academic registrar,1
"plastic parts sorter, van niftrik #putte ",1
secretary @philips intl. division (strijp s #ehv),1
"bartender, aor @cafeberlage ",1
"interiordesigner, aqui",1
"business services director, creative concepts llc #ct #usa ",1
flyer distribution ,1
customer service advisor ,1
harbinger of the companions,1
arch mage of the college of winterhold,1
thieves' guild master,1
thane of whiterun ,1
dovahkiin,1
national survey coordinator (politics),1
team manager (sales) for the times uk,1
renewals negotiatior (dexters),1
linguistics tutor,1
london drugs camera sales,1
blockbuster video clerk,1
yard driver @ intermodal rail yard,1
costco grocery bagger/boxer/ parking lot cart rodeo cowboy/urinal scrubber,1
talk show host,1
 avon representative,1
sales assistant at claire's accessories,1
sales assistant at primark,1
breastfeeding support worker,1
student midwife (almost qualified),1
lemonade stand,1
togo's/baskin robbins,1
ibm intern,1
mechanical designer,1
language teacher,1
community manager,1
customer support,1
volunteer police cadet,1
office clerk,1
swimming pool lifeguard,1
audio visual engineer,1
marathon event crew,1
church receptionist; ,1
grocery store cashier; ,1
camp counselor; ,1
nanny; ,1
bridal store consultant (all to get discounts for my wedding!),1
ice cream salesperson*,1
unpaid care assistant**,1
customer service advisor,1
customer experience advisor,1
customer service officer,1
customer experience facilitator,1
customer experience officer,1
